temperature_c,ice_cream_sales
32.92,948.03
16.16,529.07
31.74,907.02
17.43,447.09
13.41,399.7
24.79,689.56
44.23,1255.74
30.86,902.42
19.07,667.01
25.74,772.73
22.54,650.81
6.25,333.3
31.97,824.63
13.22,413.04
26.37,702.41
7.84,228.66
36.61,950.09
5.7,202.74
17.86,557.88
20.33,587.28
35.89,1012.96
43.94,1211.86
12.65,276.12
10.56,373.34
29.87,801.7
13.69,343.74
5.97,262.81
14.27,460.63
14.38,468.36
27.06,818.14
23.0,634.14
18.34,498.9
16.56,511.64
15.71,465.14
39.47,1248.67
23.43,676.24
39.2,1078.02
44.83,1165.84
24.82,655.6
42.14,1050.43
11.98,376.2
17.39,518.38
31.36,945.5
14.52,443.54
28.67,787.77
40.96,1133.24
43.94,1187.0
26.4,811.85
34.47,1042.24
29.13,820.17
21.8,580.67
19.26,566.76
29.57,845.8
18.83,483.6
34.96,950.43
10.05,255.16
33.74,962.56
25.44,663.52
8.27,281.22
38.58,1049.25
26.99,691.56
34.39,956.5
9.95,277.99
11.21,463.47
40.15,1177.87
23.67,756.82
16.84,524.24
25.76,758.78
19.86,580.48
43.95,1225.61
12.88,514.84
26.2,690.92
18.3,578.45
11.6,281.97
32.26,876.36
10.48,352.85
15.98,513.22
24.49,747.59
21.95,721.99
41.42,1046.14
31.04,922.79
7.78,397.29
10.73,340.43
28.45,775.95
14.02,457.67
12.83,411.65
44.5,1199.48
33.38,1020.58
17.1,670.08
6.11,233.3
36.8,1158.84
28.09,780.9
17.45,581.73
26.09,689.57
40.86,1068.49
7.54,268.92
34.28,1006.87
39.51,1100.21
25.82,646.82
43.44,1105.9
14.27,352.97
33.85,965.25
21.99,658.68
20.16,611.73
30.45,868.34
29.38,788.91
19.69,602.28
20.02,686.46
24.2,738.98
44.71,1147.59
36.94,1003.37
19.65,553.56
19.53,641.03
40.87,1058.28
36.17,1015.11
31.14,857.9
33.57,892.4
7.28,294.39
8.71,304.29
17.63,585.35
23.9,668.27
33.44,864.99
36.29,994.69
40.39,1124.79
15.84,532.56
34.92,961.82
44.79,1270.27
13.33,352.71
7.79,353.5
40.86,1155.66
10.4,333.29
33.79,1007.67
20.49,631.0
19.22,657.15
42.62,1118.97
19.05,535.18
21.31,665.63
5.63,244.73
12.34,322.17
19.46,698.69
31.64,996.05
7.56,300.42
18.98,533.29
19.61,550.41
36.64,1039.22
16.0,586.18
40.68,1275.63
42.76,1150.88
13.86,425.22
20.11,592.84
34.34,982.97
15.75,442.36
38.04,969.25
43.96,1184.91
30.25,874.96
11.45,489.15
5.08,162.17
21.4,702.65
14.08,445.76
35.96,984.28
23.79,601.69
30.29,880.74
29.25,847.76
6.45,397.36
33.32,917.51
38.03,1143.92
23.85,677.94
28.28,786.55
10.75,267.96
31.35,952.7
42.59,1172.89
33.48,936.67
5.58,222.06
17.38,548.55
43.16,1136.26
31.73,920.22
17.99,492.42
29.02,817.42
11.53,418.14
41.99,1234.1
20.6,627.57
12.68,494.89
8.0,299.16
6.4,203.87
30.8,994.96
32.26,899.5
31.34,940.35
17.57,501.88
36.7,1048.77
38.6,1085.57
29.12,828.06
29.62,962.24
12.7,443.17
39.32,1060.83
8.38,404.05
37.09,918.66
21.75,556.17
8.93,375.95
7.46,300.01
44.54,1180.7
27.76,817.57
22.78,733.38
42.02,1087.02
23.52,682.78
38.88,1074.3
39.15,1097.06
35.0,1013.72
8.8,202.03
43.19,1211.82
30.09,737.79
21.34,631.28
35.66,928.13
7.96,310.73
12.14,443.42
32.1,906.05
30.18,815.37
25.98,670.44
31.98,897.38
43.0,1150.47
10.21,375.49
18.71,542.0
16.74,602.58
42.41,1163.02
12.49,467.38
19.71,562.85
41.23,1174.96
31.8,932.48
6.25,215.32
43.41,1095.37
7.41,361.24
25.88,721.7
14.69,428.36
30.27,838.85
16.34,451.82
37.7,1080.38
27.61,789.65
17.52,541.04
39.62,1158.92
36.09,1008.22
24.73,812.67
24.65,715.03
23.72,602.53
26.6,711.88
39.33,1039.53
7.95,305.54
20.54,704.75
35.01,986.45
43.56,1175.34
11.13,359.96
6.74,301.2
37.2,1055.03
43.82,1243.27
33.59,897.47
27.16,914.1
14.34,437.71
43.33,1145.24
33.89,1018.95
32.76,973.26
40.28,1068.33
40.03,1141.33
8.23,280.12
5.8,270.1
13.91,461.78
41.41,1288.04
26.35,842.07
30.9,936.52
18.84,616.92
21.99,574.65
17.0,536.12
42.61,1139.02
21.48,633.98
38.44,1066.06
11.22,277.52
17.69,525.21
12.26,414.08
16.74,573.95
31.7,845.59
10.66,319.03
26.44,709.57
5.12,209.04
44.32,1140.44
6.42,340.2
35.18,1025.95
39.77,1257.16
44.85,1189.35
31.0,926.75
29.26,758.77
27.3,870.75
35.58,976.74
39.83,1090.68
26.11,829.23
33.81,1018.04
43.5,1128.61
9.47,330.49
28.59,900.22
7.69,270.29
22.43,679.0
34.05,983.43
20.21,689.84
9.0,365.17
38.2,1040.29
14.76,351.19
25.09,769.55
10.99,385.15
44.57,1320.88
20.31,642.25
37.87,1012.68
20.38,534.77
18.99,564.3
14.62,487.26
21.18,635.82
40.01,1024.53
31.47,719.45
7.12,220.67
26.64,619.73
24.91,663.87
32.48,926.44
35.21,1067.08
27.63,643.88
40.04,1039.38
30.68,890.75
18.52,535.98
20.05,611.08
39.34,1106.17
15.39,460.12
10.7,439.82
35.09,1123.06
22.1,588.46
14.07,507.29
38.18,1181.06
12.4,496.79
34.3,916.09
18.61,545.49
33.49,833.4
35.92,963.69
11.29,349.89
37.99,1077.27
29.74,775.28
39.36,1088.41
6.26,268.94
35.27,953.88
44.44,1261.22
33.12,900.77
41.71,1162.33
21.59,561.81
33.06,879.89
27.69,849.83
18.41,459.95
29.93,893.36
19.43,566.2
42.97,1052.45
36.91,995.95
39.83,1139.92
30.43,999.12
38.62,1177.4
19.67,536.01
31.46,934.38
18.35,531.91
28.78,782.78
7.86,356.79
36.68,1030.67
21.87,660.58
44.36,1108.32
39.33,1025.27
29.57,785.31
15.63,521.62
30.2,898.8
35.27,1085.84
23.89,640.75
28.7,923.03
40.05,1085.68
10.49,366.94
24.98,717.46
39.63,1106.06
20.65,657.99
40.36,1171.34
27.33,768.54
21.05,631.68
44.66,1161.9
11.48,427.55
18.89,588.25
13.79,398.16
44.32,1133.45
11.01,384.89
9.77,422.74
15.56,584.08
29.34,755.97
15.59,545.85
18.08,599.96
26.36,842.19
30.44,889.63
28.19,784.74
29.6,887.12
31.84,741.3
40.09,1042.77
32.0,847.91
33.84,905.58
20.86,530.31
42.79,1135.8
37.33,1000.04
28.31,791.96
22.94,690.46
5.76,168.84
44.46,1184.33
10.66,361.01
25.36,622.85
18.67,562.38
18.04,565.38
21.78,689.94
27.9,718.25
5.4,225.91
11.16,453.48
29.53,734.03
34.57,963.94
32.0,808.74
44.64,1190.22
6.91,224.43
25.61,762.65
21.74,625.77
12.96,347.32
40.62,1206.88
10.74,379.21
25.18,788.8
12.69,351.42
22.46,637.89
36.62,1075.47
33.02,880.6
33.02,925.11
13.6,436.14
5.91,106.08
33.8,940.94
9.24,305.98
20.61,605.24
38.76,1025.75
21.38,557.15
23.62,641.62
43.32,1151.33
41.36,1170.48
8.64,282.29
39.67,1098.44
24.78,731.67
36.92,990.52
19.08,635.41
43.29,1159.72
36.86,987.89
22.98,740.7
19.43,593.94
13.44,292.54
16.02,340.87
22.68,762.67
19.17,584.19
30.76,858.68
30.42,727.43
12.74,409.72
15.43,422.48
6.81,251.26
20.3,563.75
23.94,681.08
9.2,341.71
8.41,332.5
15.71,488.89
24.66,722.82
44.34,1101.37
41.6,1135.04
20.94,635.83
27.24,776.33
27.39,873.81
18.72,552.23
39.27,1002.4
16.66,516.59
22.08,617.65
41.28,1028.41
18.84,552.65
25.44,824.64
39.82,1073.45
18.1,617.5
43.47,1229.76
13.14,570.56
32.37,936.41
7.4,289.62
26.48,767.46
11.38,401.1
30.14,837.88
29.67,811.32
21.66,669.13
41.99,1111.87
40.66,1004.39
34.4,881.36
33.79,1043.46
7.73,274.09
17.94,594.66
13.13,386.29
20.54,666.9
9.37,358.31
17.73,662.72
27.84,874.92
11.65,435.33
9.23,295.43
33.27,861.14
14.88,463.51
24.13,704.35
38.54,1038.91
20.14,645.86
8.94,328.22
36.41,1010.19
34.54,1054.95
29.41,841.5
26.52,681.6
35.09,1038.63
19.13,590.84
18.19,538.34
30.1,795.06
11.66,467.1
30.33,959.64
39.68,1051.72
25.6,757.98
8.32,334.27
31.51,783.25
39.77,1091.7
12.87,317.37
29.49,836.09
12.88,557.9
37.79,957.77
15.11,590.41
30.18,961.01
28.57,813.98
19.99,630.68
41.02,1108.46
41.05,1099.48
18.6,577.28
18.92,526.61
31.19,908.23
16.36,511.48
17.15,464.78
5.82,288.15
8.76,363.09
31.32,950.42
17.83,517.02
8.25,367.98
42.21,1285.21
16.83,522.48
13.36,441.23
25.89,788.05
38.23,925.77
39.9,1015.66
17.2,497.04
34.69,946.7
25.93,754.9
28.81,836.34
22.6,582.64
12.09,471.38
37.82,1065.42
26.76,772.7
21.07,656.29
32.01,863.41
22.03,636.34
38.96,1009.15
10.43,228.45
6.2,240.74
27.78,897.87
15.27,447.72
9.73,249.81
6.21,289.21
35.82,966.66
43.39,1211.05
29.63,880.4
35.91,967.23
38.54,1088.36
37.22,1028.3
18.07,433.69
5.09,195.88
30.13,803.34
42.9,1082.09
40.5,1061.69
5.19,270.03
41.17,1130.05
5.43,124.51
26.26,689.75
39.11,1078.57
21.64,640.86
32.35,889.63
14.3,502.69
43.81,1217.27
6.76,234.81
30.29,816.75
6.39,247.68
6.67,141.8
15.81,512.85
5.61,164.8
13.29,504.91
11.16,276.23
41.48,1159.09
6.66,146.97
29.47,798.07
31.82,919.27
37.84,1101.07
19.69,644.39
12.26,447.86
9.87,394.69
10.7,420.49
25.96,715.05
28.87,798.5
36.54,1053.6
37.18,1094.68
38.71,1057.63
11.39,351.27
34.81,934.89
7.91,246.56
40.22,1132.21
26.01,816.81
30.66,894.08
29.79,842.15
27.32,896.5
25.93,747.23
41.88,1229.27
18.93,507.49
36.15,1016.32
19.48,527.6
6.84,215.26
20.12,554.17
11.04,379.55
22.62,637.74
8.28,182.75
36.42,984.29
28.63,778.3
6.51,157.92
30.82,897.68
43.19,1219.55
7.53,325.3
19.27,683.91
40.79,1052.44
6.34,192.59
41.74,1141.53
44.55,1206.6
20.6,622.99
23.6,740.15
44.53,1197.82
7.4,346.87
17.73,496.86
7.54,258.05
34.85,904.67
31.05,671.52
39.54,983.44
12.61,468.95
26.8,836.26
33.52,861.27
16.27,562.74
40.59,968.96
12.92,360.99
9.73,315.15
16.24,569.21
36.91,1131.05
33.57,911.39
40.65,1112.06
29.67,904.23
41.73,1278.04
26.73,839.48
41.73,1070.74
39.81,1147.74
23.94,659.68
5.26,315.53
44.43,1248.74
24.88,660.72
34.64,1032.26
23.09,709.02
19.48,610.98
19.33,585.03
19.21,548.9
28.18,841.47
37.31,1164.87
27.76,908.54
26.04,739.93
17.27,405.4
23.51,654.96
12.19,413.56
34.79,986.79
36.33,1062.08
14.54,507.07
27.68,836.46
16.39,471.79
44.1,1171.02
16.95,458.95
39.56,1104.65
33.01,977.23
43.62,1254.74
33.78,793.97
29.37,862.4
23.42,622.93
23.85,731.55
5.05,163.32
44.88,1265.99
27.71,753.78
28.48,774.39
12.22,453.66
22.28,623.9
13.76,501.61
13.75,488.34
26.9,765.86
14.64,438.69
31.66,968.17
20.07,651.44
20.07,700.25
33.09,822.64
31.83,878.38
21.15,601.35
42.2,1185.82
18.13,496.31
33.73,894.88
36.75,1021.15
13.73,330.73
23.97,578.51
5.84,239.05
18.2,714.34
15.8,501.79
35.86,973.89
13.83,471.61
6.02,285.14
5.95,240.96
35.55,948.14
10.73,274.27
30.76,923.08
13.06,398.32
13.86,475.08
37.26,1094.83
32.28,888.62
31.18,791.59
42.15,1140.09
39.81,1085.88
38.87,1101.53
10.45,326.81
11.64,353.6
44.28,1183.96
28.06,823.84
26.98,828.4
25.23,870.69
34.43,1076.53
28.79,811.64
11.0,331.76
9.1,290.05
17.11,449.07
39.8,1102.51
21.09,567.8
39.89,1030.86
27.91,735.31
42.18,1207.83
40.38,1104.48
20.04,519.2
27.05,829.02
33.39,1006.19
6.83,243.07
11.4,337.89
34.2,902.7
41.58,1155.46
17.15,583.34
20.76,629.13
39.98,1018.68
15.65,555.03
42.04,1147.82
10.64,354.05
15.08,502.95
6.42,323.04
8.74,250.18
15.2,399.61
31.21,877.27
13.03,423.7
42.57,1218.45
18.95,649.74
25.75,713.48
31.6,909.66
10.45,388.92
32.51,946.11
9.82,248.3
38.05,1082.58
24.52,663.19
8.58,348.71
33.31,863.23
8.06,305.09
43.98,1180.96
23.14,806.4
20.32,554.1
17.58,481.26
23.0,762.76
36.25,1057.01
25.81,759.41
30.73,837.13
7.3,210.82
39.07,1048.24
26.14,718.63
25.96,704.17
15.09,443.94
8.09,266.08
18.44,616.29
37.74,957.34
26.88,793.1
15.54,502.2
28.72,811.66
19.05,613.86
13.95,472.0
34.6,968.5
11.69,456.03
28.4,660.11
34.35,1087.74
7.47,354.67
32.83,1021.94
5.46,181.79
37.47,1039.11
16.12,519.91
11.15,354.59
10.21,364.39
22.43,674.79
16.53,439.53
23.75,736.7
38.82,1108.52
9.2,287.81
15.42,406.08
9.53,344.57
30.48,811.43
29.92,864.19
38.94,1025.89
34.18,1044.38
32.98,883.21
11.42,331.88
37.77,1045.62
5.29,136.39
33.6,887.98
37.58,940.2
14.06,464.33
17.47,592.45
14.68,441.32
37.78,1119.79
21.83,594.86
19.54,560.48
25.09,780.95
34.22,998.5
31.42,912.87
33.31,999.35
42.9,1169.36
15.21,498.31
13.28,391.03
30.99,990.43
10.84,344.05
30.74,855.69
43.24,1193.59
23.34,723.48
13.59,479.12
44.79,1057.32
20.32,713.95
9.55,435.46
21.64,716.26
8.51,321.45
8.33,383.06
6.9,288.24
23.17,694.19
23.36,725.9
34.34,991.03
26.77,830.6
39.41,956.06
39.92,1092.57
11.84,322.66
6.65,322.13
33.25,876.59
5.4,218.01
20.76,675.05
7.16,357.5
23.36,736.85
22.99,719.86
38.83,999.51
30.82,809.57
21.1,547.08
25.37,670.99
26.97,783.62
14.05,511.49
36.02,1060.51
23.69,581.11
30.51,860.66
6.27,240.41
9.44,196.85
28.58,864.34
34.77,1017.35
17.83,509.34
42.83,1152.16
38.97,1083.03
25.98,774.32
30.6,825.98
28.73,766.62
17.23,465.51
7.5,376.95
37.18,1102.74
23.42,620.01
38.67,1013.11
19.98,535.9
5.57,150.18
10.08,468.98
11.29,338.17
34.24,1001.55
6.28,236.75
37.77,1031.15
32.63,898.34
17.93,570.39
25.88,735.88
42.29,1201.9
7.79,364.07
19.53,551.13
20.64,628.25
43.53,1090.15
44.01,1168.9
38.65,1067.45
20.28,595.06
40.58,1107.87
24.36,740.06
30.76,912.58
42.12,1025.34
14.92,484.06
39.43,1066.89
20.97,595.34
39.85,1179.99
26.94,668.02
14.89,469.12
35.62,1076.86
9.61,344.47
10.73,311.38
10.93,360.18
38.61,1171.6
39.85,1166.57
27.9,766.53
16.17,596.47
20.77,657.44
12.34,256.06
5.15,222.45
38.59,1174.15
12.79,410.23
8.16,395.33
10.27,270.74
42.04,1072.53
19.53,656.18
30.92,924.21
6.25,254.72
26.16,806.25
34.87,936.11
7.62,223.01
16.96,547.13
17.88,529.8
40.49,1137.29
31.61,902.55
39.61,1070.25
20.02,713.6
28.65,753.87
25.71,751.93
16.04,495.51
21.9,665.86
14.8,472.77
5.65,305.98
43.73,1211.93
43.32,1144.04
37.97,987.61
11.98,353.41
5.81,196.37
12.84,461.67
39.86,1091.61
11.13,401.92
14.34,375.86
32.65,897.3
24.1,731.42
31.16,941.4
27.52,698.94
27.9,891.55
39.91,1184.19
13.71,503.82
10.57,440.14
21.2,607.2
26.38,711.76
24.62,720.52
26.59,782.91
24.45,673.67
25.71,778.23
42.28,1241.49
7.0,328.61
42.67,1169.49
28.49,665.79
6.91,180.68
7.14,272.82
27.86,835.04
32.56,828.75
25.81,751.03
22.95,716.55
16.08,498.16
29.26,794.31
40.9,1033.63
21.9,693.77
32.83,881.43
5.69,341.15
23.0,685.56
35.47,1008.88
38.68,1116.87
26.48,740.2
27.66,819.71
10.54,324.7
16.82,472.45
31.7,837.71
35.67,962.51
8.28,430.42
43.44,1131.72
43.14,1215.39
12.5,398.98
6.81,202.04
18.64,613.52
43.35,1153.49
22.72,641.23
17.55,603.68
40.79,1103.96
10.37,372.71
42.64,1164.42
37.36,1028.36
20.34,529.4
36.49,1063.85
35.24,994.44
28.19,853.69
36.26,1013.37
25.0,788.46
38.7,1076.51
36.73,1100.62
41.25,1077.0
36.9,975.1
41.84,1253.17
12.13,452.8
16.09,614.25
23.1,714.24
14.71,451.13
40.87,1233.74
12.19,295.65
23.36,731.88
25.87,594.24
39.92,1188.43
15.37,422.49
43.78,1176.23
16.68,458.94
11.52,423.52
15.14,467.5
40.24,1189.01
11.1,337.87
6.28,186.07
16.66,488.34
26.78,867.83
19.27,644.23
11.43,455.12
19.57,556.12
32.7,838.39
22.44,746.4
27.91,715.07
42.88,1172.42
34.93,933.33
37.15,1033.36
16.52,410.46
25.46,787.43
18.78,651.83
24.38,772.21
9.48,270.11
25.74,769.53
26.03,740.54
28.0,799.94
14.38,559.17
13.86,420.34
19.71,633.48
26.51,657.99
18.47,566.09
33.25,987.0
28.4,801.11
9.51,374.74
13.96,400.27
29.18,801.63
26.28,748.87
18.57,531.65
11.88,450.79
41.82,1211.02
22.98,713.3
13.5,285.65
33.84,926.81
15.24,531.45
15.63,480.82
38.08,1038.69
41.31,1188.96
23.72,752.28
30.29,893.2
19.44,496.7
30.34,791.49
34.12,976.61
33.84,821.2
6.63,364.09
8.94,331.78
33.32,890.72
26.27,724.95
42.73,1240.75
9.14,252.98
44.59,1099.3
10.34,298.93
6.26,274.16
40.96,1220.11
25.16,802.08
16.47,485.5
27.87,813.79
20.1,623.41
44.54,1226.91
35.96,880.82
31.24,862.11
17.88,594.5
6.03,362.79
36.89,1046.23
6.91,338.38
9.53,391.1
28.56,791.2
35.28,901.79
21.36,701.85
28.56,925.2
43.95,1173.31
16.25,577.79
6.76,278.0
13.87,364.09
22.86,674.28
36.09,968.26
21.77,670.82
28.56,837.88
27.63,752.11
24.51,634.35
11.36,356.53
7.72,386.01
13.12,357.55
15.81,538.67
12.5,448.48
12.7,384.35
29.34,782.81
23.18,715.14
15.01,473.53
14.43,430.59
10.73,396.53
32.67,1014.36
24.04,775.32
31.58,897.26
20.14,400.65
8.4,295.68
37.92,987.81
6.66,254.37
19.7,571.53
28.41,791.18
31.58,954.08
24.27,693.09
36.96,1007.63
24.18,733.18
38.43,997.37
14.87,451.59
23.9,615.32
6.24,293.3
28.13,817.05
21.1,751.68
32.25,808.17
34.69,1025.54
22.32,552.8
29.34,773.68
34.28,828.29
38.47,1065.92
9.21,346.49
26.92,753.58
41.99,1018.72
16.36,477.08
30.14,861.36
16.29,452.44
37.15,1027.15
34.73,1033.21
42.98,1140.08
32.96,858.73
24.56,709.27
26.64,875.05
36.18,1034.72
34.52,872.32
9.71,424.17
16.97,499.28
32.3,893.47
9.04,248.55
31.39,893.77
39.54,971.19
19.71,525.15
13.72,479.48
39.16,1086.62
24.26,661.3
38.29,1045.61
8.12,344.93
13.47,459.76
5.04,265.77
22.93,601.87
40.28,1064.64
30.81,986.4
5.71,219.04
5.99,222.17
33.81,952.68
8.71,331.03
13.81,385.4
32.94,774.08
14.95,454.52
24.61,714.03
20.81,514.15
18.75,584.78
15.1,497.72
21.3,690.87
12.31,341.92
43.19,1201.72
17.66,574.51
34.16,1042.64
16.71,568.76
15.49,550.57
24.31,716.85
34.3,930.4
5.16,305.1
11.84,319.96
35.97,1090.85
19.12,625.47
39.22,1060.22
10.33,262.87
37.52,1033.77
29.88,809.0
11.74,298.54
5.49,203.05
40.26,1160.57
16.56,513.29
14.65,451.89
12.35,314.75
19.2,569.06
25.95,843.28
24.11,704.95
39.05,1054.53
12.89,467.2
34.86,1047.46
41.37,1217.04
6.47,282.53
35.05,877.69
15.98,559.0
22.91,649.14
7.44,254.48
16.77,460.91
9.48,369.64
14.31,515.28
6.31,217.73
42.56,1202.45
40.81,1186.28
31.04,897.96
18.01,550.24
42.73,1159.16
43.87,1157.44
36.78,1065.2
32.26,974.97
18.15,561.69
40.33,1081.6
25.0,754.42
30.29,803.16
11.93,473.69
5.86,314.92
44.5,1242.33
29.86,820.79
32.41,898.81
7.02,170.98
21.86,600.52
16.37,553.35
38.43,1014.25
24.42,853.76
