square_feet,house_price
3294.85,520672.03
2975.47,474856.21
3060.34,469356.45
871.81,129361.06
845.51,163296.45
3739.23,649045.15
1831.28,331420.35
1483.42,323101.58
2158.9,400715.5
2786.31,488345.44
3840.24,709251.94
1431.21,261557.15
3729.31,612149.59
489.49,123109.46
2398.71,466917.12
2682.31,452443.18
781.23,148445.39
905.22,203135.16
1908.81,308124.81
3878.43,655447.19
2545.75,447476.69
3758.88,605537.76
3295.7,567823.91
2082.57,309699.16
3225.15,540474.2
464.21,106988.62
792.92,251842.05
3385.94,564425.15
3268.54,515624.77
1237.51,192640.17
2310.77,444333.2
2581.66,423979.4
3523.86,544852.16
2571.19,448408.78
1885.26,355156.06
1747.06,333445.98
1933.18,340660.99
2746.95,468208.95
3522.97,588333.16
2034.03,366935.42
1292.22,257200.72
1251.98,272010.18
3085.65,515128.47
3339.65,516887.88
779.0,162680.85
639.61,167196.94
2539.96,363642.42
926.22,136167.87
3368.79,593742.97
1517.2,327115.48
917.94,150253.96
3715.49,611701.82
995.91,187408.94
1424.99,255369.69
953.01,202045.38
815.76,134769.49
476.13,91103.58
599.42,131479.36
1028.71,199924.26
592.17,107343.55
2528.12,458940.46
2850.57,461195.38
1817.07,308182.65
1544.77,290964.87
2216.29,377792.97
3550.02,618304.88
3464.07,530108.29
556.51,94653.57
1053.39,198632.81
1252.28,239725.3
1297.8,205599.16
2456.44,366727.14
1898.54,341069.66
577.31,115465.32
1745.01,262765.6
2285.51,427991.61
766.02,146688.13
3400.45,608362.3
587.06,138854.75
3729.43,622279.99
756.81,157433.28
3436.87,453524.18
3649.55,548269.23
3926.45,633357.47
3287.29,558207.06
3206.12,457486.48
2712.94,454873.84
3204.39,484620.59
884.39,189561.17
2329.84,398765.72
2251.2,414636.75
3487.26,618360.97
2066.08,376127.95
1786.32,347142.87
2702.43,441871.73
1359.27,343654.99
903.17,149500.48
2120.36,349264.68
1900.8,366220.74
1237.25,259062.33
1723.04,324840.06
1719.01,330539.3
1578.98,218309.16
1766.07,368677.14
2868.68,472279.65
1468.76,310610.22
3815.89,532746.56
3698.85,615987.19
2131.28,349599.18
1582.1,306143.81
2327.57,410751.56
3454.82,583697.0
2749.31,421366.8
3295.81,542008.56
2317.8,391077.9
2678.5,470791.72
1437.36,297446.34
3045.62,512895.66
1128.66,180192.37
2901.27,489441.04
3498.59,685740.61
875.57,229691.63
2611.77,328562.88
742.34,163170.4
3012.58,539229.83
704.18,150426.21
3769.38,595233.94
894.67,176331.95
3851.97,652235.15
3283.18,494912.52
2537.26,475385.53
3217.45,530316.42
3262.41,500734.23
3805.7,670358.05
1312.18,198061.29
2524.27,407753.22
742.18,144913.27
2618.2,524394.33
1016.65,181889.66
2433.82,334975.19
2460.75,397408.59
2077.55,377752.88
2281.47,420767.62
3150.12,615289.04
3277.28,599818.58
2171.75,382501.41
2558.54,400091.48
3752.45,683938.67
831.04,163910.59
821.57,154078.37
715.75,145443.41
2768.31,416605.37
1906.99,319989.04
3187.56,518590.63
2816.43,501020.61
1601.1,277355.35
3634.12,540400.96
3145.12,456452.81
1373.93,262767.78
1711.09,309100.68
1531.98,261693.78
967.4,181162.79
932.02,201325.58
3770.06,676484.69
1976.45,319254.96
1779.95,320006.49
3026.87,542489.84
2390.78,379935.82
3770.1,614830.12
3209.09,529803.26
2125.73,322139.88
1754.89,318925.07
3951.87,644192.95
2983.94,519749.32
3824.3,571277.9
826.52,174268.9
3461.92,627748.81
2693.47,533935.77
838.92,213210.56
2517.73,383414.8
2869.95,498240.84
444.29,103491.5
2035.54,365318.68
3371.44,523392.91
1463.29,214120.47
2050.77,345470.4
1992.33,374113.01
1486.94,282381.98
3706.39,623499.73
3212.66,540782.84
798.12,181445.23
3989.32,672198.48
3565.12,573004.62
1422.07,265972.2
3412.83,635252.81
783.11,171573.45
3996.78,651431.23
2796.47,473480.43
2740.45,452633.96
725.59,146374.65
3629.32,603401.8
504.4,111741.44
1266.98,235487.45
914.88,163852.82
3196.36,533881.21
1113.54,234887.76
3678.3,592549.34
2762.57,386434.4
530.19,145852.19
419.55,116188.82
585.97,110154.48
2581.33,466511.68
3285.33,484868.07
1258.79,271533.46
3457.87,566254.78
606.03,77308.56
3283.47,549906.42
3740.06,593258.8
3179.59,504164.54
2913.23,457796.24
3416.73,557155.61
544.54,118230.95
1126.42,162088.06
849.73,214665.02
2216.31,373629.93
3082.68,482821.62
2668.04,406942.39
3464.07,602228.45
958.77,155129.75
3044.64,512084.78
1094.95,196455.85
1374.73,239462.68
2955.66,449450.83
3928.74,611617.24
2601.56,440568.49
596.2,146014.44
2618.71,412880.83
552.46,130344.75
3582.92,625566.37
2954.48,427045.53
1023.26,203300.24
730.2,132288.45
1060.72,177207.83
3928.1,650866.36
2050.82,338400.4
3222.69,483376.73
2691.07,504586.28
2460.69,453425.6
922.47,131150.23
3805.69,555936.43
1484.83,291967.37
2480.86,411473.79
2919.19,547295.71
2737.24,484429.62
3786.14,631076.71
934.38,159836.45
2230.07,402276.22
1854.52,284454.8
2107.01,412433.03
829.18,186681.08
882.74,158149.77
1401.07,285914.79
1496.94,347355.71
1940.45,333515.93
2599.56,460847.75
2684.66,436107.41
1882.52,335315.08
1871.62,278957.17
1183.46,227503.03
2517.9,429323.42
1541.35,340041.44
529.82,79842.13
1906.24,326236.78
2106.88,411804.1
1212.13,224310.56
2460.85,412735.52
2436.78,384533.01
2927.21,452116.39
2732.61,389299.06
2748.76,437935.66
1538.37,248411.79
3234.76,540073.5
2376.92,377485.14
1953.11,326292.59
2653.64,430741.64
1698.37,303141.82
2245.86,367731.2
3052.14,465072.82
3591.05,592341.68
3715.81,653890.77
2213.08,386594.96
2272.99,368772.47
3279.53,536832.05
1532.02,212829.48
3414.58,556321.4
2178.91,362465.95
817.08,145412.54
659.41,127629.76
3431.18,547382.54
600.04,167795.73
1410.2,296531.81
1602.87,259788.78
1022.78,187815.67
1530.02,263419.32
3073.69,543734.1
452.86,121895.87
3377.82,560560.54
3483.57,595283.05
1740.14,290921.7
953.01,233547.09
2563.03,434387.85
830.82,149669.82
1713.71,299347.77
3850.35,682066.71
3983.67,628454.13
3179.58,565771.55
1519.46,257534.63
2875.59,451188.84
2939.46,517103.68
1796.23,289735.92
2707.2,487777.27
438.62,125354.73
1152.61,196016.73
2290.32,390943.48
989.5,181991.27
997.26,210054.23
3410.7,640992.8
3960.88,627522.63
2401.49,429977.19
3420.65,564126.69
3965.16,645852.1
909.75,181580.18
2013.68,321984.36
1813.26,333406.25
688.18,145014.54
3119.19,481147.08
1961.6,379542.04
2089.58,366946.23
942.42,184586.1
1051.34,248246.06
3665.57,520282.46
560.74,169499.61
1238.27,208285.99
1451.41,274535.46
2164.71,353640.14
2511.2,392016.15
2175.84,423517.81
702.82,208350.58
1277.2,234637.03
3436.92,579689.59
2695.32,456490.73
2736.94,527484.6
2812.73,389362.37
3146.45,537328.72
609.19,120985.63
1719.79,228810.61
2342.3,388109.22
1618.44,353922.53
3440.12,538332.91
2137.26,398808.65
3167.06,574007.03
3467.26,569550.84
2217.25,386934.19
3674.39,526719.04
2513.65,400141.92
3460.99,607519.02
1626.13,295929.37
2195.74,392577.63
2313.08,401830.92
777.93,230015.24
1834.79,310505.79
3702.42,675217.07
2671.0,455769.92
1039.02,257010.09
1619.88,252436.0
1089.77,219088.07
489.36,112599.04
3738.86,616922.79
2013.55,394897.92
1507.13,288393.75
2554.52,479274.7
426.33,95765.6
1400.88,233797.62
2930.92,490276.71
2681.57,450751.13
3934.5,631872.41
2633.29,408405.6
2119.02,410519.3
3141.16,506404.01
3651.98,659489.05
2994.51,499685.2
3867.56,658883.97
3215.22,555191.33
3520.49,542956.67
810.77,182284.87
3036.69,582990.35
1984.32,356434.6
2391.17,441983.52
2754.77,490096.12
3891.33,647350.57
3944.48,650011.94
1437.62,283260.31
3041.51,536916.62
3099.94,460228.87
1647.37,305325.72
845.93,171509.15
547.41,121251.56
3198.44,582889.69
2162.92,348180.52
3947.94,579790.11
2073.9,389229.77
3920.5,574722.04
1881.67,265913.67
3257.26,576087.35
705.35,160330.24
2399.66,427439.15
3287.42,524779.38
3728.93,548917.01
3361.3,504621.26
533.09,122433.96
1741.73,268368.29
575.31,144856.76
793.42,155616.38
2831.1,481910.22
2967.73,501340.32
3185.39,543639.7
3515.64,598613.61
3061.95,495430.44
3283.14,550089.87
576.27,143020.63
1244.33,160815.06
2638.83,470518.31
3489.25,579752.15
416.2,127705.08
2252.67,341234.61
2838.23,463359.67
506.59,95934.93
1844.88,352215.54
3624.29,533052.2
2817.81,436370.7
1255.57,255047.71
3470.01,543847.76
1652.91,267054.46
3472.04,609214.94
1476.2,302117.41
2525.15,455941.42
1828.98,353326.76
1389.37,251007.3
3591.61,579952.17
1075.34,191614.03
705.32,160583.0
1630.94,277138.24
2983.5,480238.22
3306.75,570929.19
3995.48,702598.89
1466.9,282913.06
1868.59,391910.76
892.56,163097.04
2469.54,351786.73
3991.29,680820.35
2923.17,457898.9
2542.77,421092.95
1812.53,261595.36
3695.08,565167.83
2188.9,324338.15
883.72,169781.54
1715.36,294056.59
641.8,148807.69
1127.12,257048.37
463.61,138032.89
2031.81,297737.23
2684.34,476012.74
1635.85,299085.87
1913.37,333624.6
3853.15,626968.2
3107.07,524351.69
2347.08,376645.83
1424.35,257794.65
3629.19,645460.44
1246.35,214968.23
1571.23,251846.9
3672.63,598219.17
2306.35,354651.13
3072.34,441317.2
2526.68,416038.72
2752.38,519008.52
1477.78,270416.63
1268.94,245938.36
1560.97,214266.64
959.59,206993.69
3547.53,586120.0
1419.69,241610.61
2421.36,419885.37
3251.11,544684.65
3221.77,489710.71
1978.19,358307.27
2114.53,409764.2
3980.93,636903.32
2828.55,440322.61
3332.7,542506.15
3649.19,634337.72
3235.32,484802.85
1066.65,227546.39
2423.81,388404.93
766.82,172002.51
2750.52,440708.65
3839.26,600828.65
2245.84,442055.79
1958.7,294778.08
529.03,142773.12
3855.19,704934.26
770.81,185401.53
547.88,95258.85
1285.84,202596.92
635.91,124205.97
2038.42,361320.75
2257.92,396886.78
1525.25,237297.07
583.46,113153.64
801.76,146724.06
1784.22,311501.24
617.9,198434.49
2913.48,450098.65
1145.27,191772.72
1487.46,236362.65
1818.85,344496.34
1899.79,333542.96
405.98,86671.87
803.45,159990.66
3505.95,542230.12
404.44,118661.49
2229.4,481442.57
2162.21,394058.11
1599.14,286802.63
1952.78,319799.46
3210.09,476366.62
3428.33,595168.91
1337.25,272114.42
1560.97,268854.48
1272.94,278996.59
2127.51,369878.44
2859.73,509406.56
1221.71,242470.81
1590.65,282760.1
3749.38,570634.43
574.85,132170.69
2058.77,388534.8
2961.61,474013.48
941.63,204309.08
570.55,105424.82
897.54,207633.02
3707.76,619789.62
433.34,82342.93
1077.96,204886.11
512.62,152566.5
798.27,133238.88
2632.54,404010.28
1269.9,238306.32
2449.16,496832.15
2524.7,403400.75
3457.97,589640.14
417.07,119606.21
3472.13,545847.06
2628.83,450470.6
985.88,184478.07
3182.57,512747.37
3479.77,501529.42
1315.35,246530.66
3707.66,645293.58
2036.05,357427.26
2572.33,477137.62
3944.74,667665.13
1701.53,303234.39
3327.37,522961.19
1546.24,266019.54
3277.17,480716.99
2562.64,424297.21
1178.88,231342.62
1890.49,392674.58
1543.49,298808.53
681.19,127611.53
507.41,86474.85
1647.32,290233.38
468.52,142474.2
995.76,192749.58
3010.66,523307.25
2949.13,485170.32
3058.89,537724.54
1541.75,229018.39
3604.07,659622.98
2537.79,388740.16
853.69,201285.56
917.39,179554.99
2895.14,479699.14
1022.6,196129.43
2226.25,393173.38
3970.39,666079.08
414.43,140816.21
459.69,157387.9
3975.1,661156.34
2504.7,490008.02
856.88,181254.03
3630.29,641036.29
3569.37,603774.65
2330.32,379418.99
2638.45,452689.44
1383.47,273581.01
581.87,136382.01
2540.44,446632.11
1461.12,297123.87
2789.04,467445.09
3410.48,437774.81
465.38,165668.6
2544.57,420459.44
1232.61,209235.57
3546.0,533866.56
1313.19,236358.6
2598.77,418434.91
2392.75,381669.43
1826.2,300648.26
2839.43,496679.63
3012.77,583259.79
2440.98,446675.68
3130.32,565183.42
3940.3,624174.42
1909.38,340022.95
2252.5,403340.16
444.89,98777.63
3265.7,522260.63
2272.83,421999.28
1868.66,367743.43
738.66,162733.08
3602.76,539006.2
1822.03,313221.23
2857.29,421969.25
937.75,192894.71
3861.58,640553.17
1042.39,198179.86
1118.35,225147.05
3492.34,591553.08
3685.3,613949.3
1163.73,187530.05
2091.28,354712.63
3040.58,522564.13
3562.12,651903.07
1764.59,305491.12
2261.27,409189.52
3070.18,545961.08
3032.09,496916.77
3218.66,579990.31
2451.76,462555.83
776.61,206361.9
3654.3,617982.63
3516.06,677904.54
3273.15,515520.97
759.5,225093.91
1135.83,243945.36
3076.96,565675.48
483.3,113721.33
3925.21,676466.87
1757.72,361873.59
2989.53,454991.37
3595.26,582269.23
1820.67,250076.28
1548.88,276492.14
2591.47,407746.71
2491.56,415577.16
1872.9,431405.19
2566.39,499946.22
3767.37,552005.07
2083.5,382208.61
1108.27,240641.22
1757.94,302273.79
1818.79,328896.98
871.99,188901.52
986.34,157644.26
2864.42,439109.47
1622.12,299022.83
3837.63,630037.55
1276.95,219304.18
756.13,140556.58
3112.62,513250.74
3571.73,623738.7
1401.21,257733.21
1127.52,268844.13
1068.76,189199.88
2279.24,398915.11
2086.3,350391.77
1333.98,268718.19
562.62,112655.09
2133.37,438749.52
3853.6,553199.47
2749.07,528827.24
2183.82,380805.85
798.49,185789.87
1308.77,288411.65
1461.19,296885.49
3153.29,493233.3
3556.16,609096.14
3645.91,677616.67
3944.45,601985.38
3936.52,735134.9
3830.8,641649.83
658.56,136526.73
896.06,158074.08
1496.08,267159.47
2390.43,336313.28
749.12,150431.61
3444.87,555628.43
2620.32,402111.45
2352.51,430369.48
995.12,192710.46
1311.72,226693.17
977.12,186845.69
3466.96,585077.31
2503.22,428230.02
3046.47,478768.03
1465.72,273919.95
1736.51,308769.53
1857.48,289552.43
3136.05,508671.64
3180.47,550766.91
1144.53,239256.9
3789.54,608324.58
834.36,194896.56
3626.04,551640.25
761.42,136876.04
1352.34,244871.21
3447.32,630350.53
1046.17,211860.96
1888.84,323841.92
2019.49,407119.36
1282.93,233425.77
2956.88,582439.96
3464.8,548081.15
3548.47,539026.91
1621.56,287726.08
2311.06,387553.86
1294.26,218719.45
1281.27,323908.59
980.51,206604.95
3784.07,638000.27
3596.76,569660.64
3198.49,506093.62
2263.58,426783.35
2166.19,314881.28
2307.08,354307.62
2331.64,390680.84
1964.43,391710.42
874.32,170147.45
852.39,190035.89
3828.1,625438.8
2135.31,416542.64
3831.54,554753.26
988.88,220369.48
2395.9,402029.76
1147.78,250597.25
1311.46,220865.34
508.2,126901.28
828.23,171247.62
3700.65,561488.92
1557.52,241646.15
2589.27,416365.3
2074.05,365703.33
1841.62,300351.13
2314.79,385146.4
1074.06,153836.8
3958.97,627242.89
3345.91,594600.05
3069.81,538925.27
2087.53,360049.71
950.36,199802.75
3714.4,571070.61
1628.99,348190.98
580.38,194752.16
1632.65,300364.08
3260.05,646002.71
2641.75,420273.8
3103.02,464765.24
3257.09,509265.98
1163.04,217691.86
3725.62,709714.06
1976.76,336706.48
2700.45,421968.69
408.31,86951.01
3976.13,697583.9
1411.23,293653.69
623.43,129863.82
2049.74,291342.52
864.51,146583.0
948.38,243449.45
2676.22,477869.92
1814.54,324411.24
3718.67,689269.01
1548.96,346469.54
3014.25,500697.12
2059.96,358373.41
2775.82,443744.24
2558.9,423079.05
2102.02,312523.78
3820.22,557305.31
1633.77,237926.76
1038.05,238443.56
2841.14,414954.94
3445.63,649187.36
544.91,111487.61
2018.68,413771.15
3612.96,576222.37
3098.63,451374.24
3970.51,703156.91
2313.09,448223.3
2775.98,431170.5
1488.93,262579.01
3811.13,581763.8
1718.81,303772.19
3058.64,513140.57
1851.3,315658.55
2422.55,345878.18
2991.22,475472.91
2232.16,410264.25
3665.51,590775.51
1909.48,325110.31
2729.46,423446.78
1632.5,274644.87
1869.36,378797.49
1984.18,307825.01
852.91,199030.34
730.21,160878.97
2802.96,479995.8
2759.86,435564.65
2786.47,454275.72
471.16,120517.4
1575.57,269216.89
1112.12,226946.07
3201.35,548959.84
3498.27,667061.65
1288.05,251953.77
2804.26,396020.38
865.71,213965.55
1390.55,252068.14
899.16,244216.74
1420.67,310322.85
2829.05,454578.91
3677.18,632896.92
1129.08,201160.11
2351.48,402821.59
2925.01,515537.12
3830.52,673719.99
2596.22,473433.55
1318.38,250126.81
2651.72,542770.54
1553.77,271103.93
3914.06,565475.9
1838.83,277450.64
2867.54,538115.04
483.62,120441.22
1840.22,331473.12
3550.39,559364.16
2596.82,422327.33
1998.19,322187.91
3769.37,636064.74
3474.34,567025.41
1559.98,298264.59
2360.37,416548.1
2163.37,359251.47
2675.93,395403.79
1602.8,239387.05
1279.14,336894.52
3685.62,667037.04
3725.95,667364.05
3435.96,536939.57
3921.54,638654.6
3081.97,479346.74
3152.8,469434.58
3145.32,497819.89
2130.19,416807.86
2043.23,386091.99
1264.81,209336.33
2721.35,446048.34
1441.55,290360.45
1328.11,231150.69
2509.46,429407.39
1875.94,345205.88
1187.88,240277.73
3337.8,561265.32
3498.05,546931.99
1003.72,184018.26
427.03,83292.07
1610.07,239907.48
3271.04,535910.39
3421.03,597522.6
897.98,143993.28
3187.61,539316.38
816.54,195299.42
1804.23,258146.05
3994.99,637079.76
1093.33,264153.53
954.27,209572.36
1922.08,273574.9
2630.81,469739.31
3758.44,581021.37
3930.96,670513.58
650.71,128108.7
896.79,182955.05
3246.66,514833.85
1374.28,256242.0
3585.46,563466.7
2788.43,459559.7
802.64,136288.12
3397.11,580166.42
1034.88,210521.57
1924.58,282718.45
2387.87,444857.54
2202.76,374064.92
2870.19,486893.48
2749.67,492076.35
3971.35,660426.57
3997.92,702109.85
2259.25,378242.54
742.72,191109.68
3020.24,507964.8
3915.99,660028.88
1545.97,295106.98
2060.35,402852.76
1929.2,364373.58
585.11,125396.85
2820.15,447948.76
1672.02,299142.55
3234.87,503933.81
3395.63,515175.75
3356.43,464550.01
1900.0,281550.09
1557.56,348731.82
3095.75,487788.9
3285.0,621601.16
2168.53,389729.14
3614.91,590093.45
918.07,143307.26
3564.65,584897.08
745.94,216253.32
952.69,239264.44
2321.82,408313.24
643.07,114049.92
590.11,111762.56
401.87,87252.18
1970.74,390159.42
3188.65,595104.8
525.42,134224.66
2748.13,450477.58
3363.26,619250.08
1004.8,171339.75
928.71,190842.64
3498.88,594506.0
3363.25,518408.21
2340.19,377689.9
3349.12,522572.53
733.92,200705.29
1820.13,388301.22
3056.07,513034.56
1326.83,240539.19
3108.38,491938.9
2215.04,382319.45
3100.96,492857.02
2072.85,357495.6
1724.46,322562.17
1189.08,215819.6
1150.17,216694.85
3105.37,508289.15
828.08,164957.67
709.54,143828.16
1034.65,228195.28
1031.25,151288.38
3363.19,620308.1
1834.62,329825.04
3965.4,672155.02
893.96,205461.98
2752.74,435464.5
2015.43,320240.86
1814.51,287003.79
3550.3,571982.93
3912.14,667978.71
3542.29,556410.51
1092.28,232360.82
1194.87,155886.03
2761.87,449316.29
1440.7,303691.05
3045.01,499874.24
2439.11,385026.68
2383.27,383242.48
3382.77,430499.27
2957.92,453428.51
495.68,153403.29
578.05,120458.99
2565.61,417268.76
2150.29,289178.04
1336.66,198829.35
1907.16,377173.6
3128.48,544359.88
3375.8,502034.74
2420.4,389664.95
1787.33,317109.51
1374.51,218052.62
2278.91,318896.09
1533.1,274764.11
2430.74,435885.91
2835.95,498581.1
637.89,170355.21
403.84,68600.53
1164.2,226414.25
3620.24,581465.63
2726.65,455627.4
1019.06,196484.96
3604.95,562326.92
2091.84,256767.75
2113.93,408415.4
3767.95,629659.34
614.15,100457.67
1174.64,240803.36
2508.78,409522.96
1103.75,202776.2
2846.3,446798.54
1170.73,242176.11
756.97,140521.98
1145.15,188070.94
1921.84,377445.18
1034.1,199717.74
884.89,178393.99
3497.01,603971.61
1553.43,261139.58
1698.73,289129.53
598.97,148404.48
1686.53,251447.25
1353.31,260019.43
2597.75,410953.42
1139.41,247171.22
3598.12,613218.72
3746.8,630149.83
759.39,117633.25
786.65,165006.03
815.18,138046.22
2630.45,443160.96
839.09,108267.63
3468.58,505043.17
3115.38,565553.9
3351.31,568107.17
2293.82,381169.34
3988.04,607366.6
559.03,103717.55
1844.55,333532.96
1566.17,273644.06
3815.12,690438.0
2476.7,414597.8
3302.29,547780.69
1013.23,160237.3
3923.08,622369.69
2195.1,385632.71
2177.22,363205.1
3895.19,612678.98
1770.64,326662.41
1831.09,376402.98
2505.11,431206.51
860.99,212678.73
1555.91,303762.08
1095.55,247381.14
771.82,148177.11
3518.12,568904.92
2521.59,420612.93
1691.22,321959.62
1871.21,357905.64
1953.47,347368.13
2679.34,485563.18
3736.37,585848.11
3758.01,652471.71
1809.37,355990.79
1585.34,310109.46
2023.77,358277.0
2444.56,443236.39
2062.54,327811.94
2771.51,473434.72
2395.84,420488.1
1554.58,239614.34
1644.63,312461.82
1762.93,272211.71
740.7,148822.72
997.83,200866.22
3003.21,471240.27
1800.75,322919.37
1172.34,227905.11
2425.62,383391.31
3119.94,541050.95
1326.72,224835.05
3376.44,652291.98
3739.02,606068.94
2550.62,388373.06
2808.21,432801.99
589.27,170461.74
3803.87,602570.15
1812.95,275485.52
3726.04,646153.88
2484.32,407096.43
416.63,130190.8
538.75,156722.02
2849.51,488198.17
2425.6,502796.04
495.52,76935.76
3076.46,478437.69
3467.72,559321.91
2187.1,459321.88
2076.73,425128.88
419.7,147877.09
3231.94,502104.95
1590.58,266260.61
3563.55,549055.28
1743.02,285039.41
2434.28,470628.0
1373.23,248216.65
978.12,193384.94
3189.67,560160.12
2187.73,318373.94
2331.36,401633.31
3875.5,582648.2
3868.89,617277.49
3480.31,547181.59
1075.39,191929.1
2539.38,439410.99
3561.33,593669.01
1748.07,304793.7
763.98,175280.42
3319.47,511787.92
2134.35,394465.67
2431.81,407109.88
3935.72,618748.51
2585.96,407749.13
1929.93,331124.54
1731.94,372756.75
1903.43,333329.01
826.24,140597.68
3261.1,577117.59
3415.78,542508.87
1423.83,272688.55
1493.67,254385.38
3547.6,636878.21
486.29,106738.59
2273.65,441884.65
2069.23,323297.55
2884.46,471121.42
988.21,240148.86
2805.99,477462.43
1756.24,390169.24
2627.37,433841.81
544.34,138776.97
2062.22,426605.58
2280.1,336907.9
1171.58,175198.77
902.65,161918.76
1078.51,236496.58
1638.91,242397.91
748.52,179438.21
3810.35,644755.04
1857.98,397770.02
3312.29,590295.46
3907.9,652399.87
690.65,192268.78
2746.01,482773.29
3537.07,560922.65
2683.24,408515.17
1944.49,321904.33
1951.87,341388.29
529.24,134223.99
2324.56,320487.54
3976.75,636658.52
3851.35,628967.0
545.44,146997.26
2940.87,555721.45
1486.35,278974.1
3650.76,558272.09
562.41,83797.42
3769.15,645494.51
3414.91,525670.43
823.02,198690.39
615.37,181540.28
3404.95,495852.8
960.73,210617.16
2325.63,446191.39
3696.68,648813.53
2442.81,338407.18
1830.04,295353.6
2002.06,305489.18
627.22,158811.76
3887.51,651493.47
1518.36,189824.17
1081.71,203108.43
1429.77,290207.77
3871.74,637325.55
739.43,165111.91
3522.29,562790.73
2948.24,450152.13
3388.07,557495.03
3913.23,639306.28
3431.76,590701.9
3796.18,650059.15
856.97,181059.48
3264.84,584972.03
2364.43,390859.34
2356.58,350372.18
3636.12,616017.11
3898.49,640397.0
2937.42,510334.46
2138.58,325654.81
2043.05,419521.45
1790.83,342748.89
