years_experience,annual_salary
3.1,41718.62
18.61,89773.6
6.12,55400.63
2.86,44254.65
16.26,77871.87
4.27,43462.45
1.88,31932.58
13.37,55559.38
0.15,24020.9
16.65,75022.23
11.25,65461.59
4.94,47739.29
9.47,56410.62
5.25,36168.77
10.66,64171.73
11.43,84564.73
15.43,61639.41
9.32,59488.56
15.73,75714.37
1.38,26438.4
18.43,88656.48
3.71,35233.16
16.73,88374.84
9.89,57689.9
2.09,15035.22
7.2,60423.52
18.37,98317.37
16.69,78575.92
14.45,75960.28
7.6,61329.92
11.78,74480.67
4.64,52107.49
12.96,73344.87
5.22,49422.09
16.58,94300.62
14.09,71568.59
7.72,55551.25
13.19,53991.01
6.5,35120.8
3.11,39895.57
4.7,46684.18
5.43,40919.88
4.53,36011.86
13.57,69640.38
14.79,78311.25
9.14,38489.94
19.76,97870.52
17.82,87630.71
1.74,33072.95
9.21,56241.71
18.17,77528.67
4.41,31632.93
7.57,63675.61
18.94,86145.32
15.52,85786.89
16.65,74603.83
17.59,86443.9
3.42,33456.83
13.99,71649.2
16.06,78476.07
4.53,52404.94
0.87,43455.08
3.57,39385.95
14.83,73596.61
13.89,62966.52
17.83,76236.27
6.34,58781.56
12.43,56773.32
0.54,23352.84
18.7,91698.36
11.09,43001.98
14.97,67382.22
5.68,34159.71
1.64,25411.16
1.26,31467.01
16.29,90248.44
3.04,30327.77
16.48,78986.85
5.31,42611.95
10.83,56444.75
5.24,46676.64
1.0,32095.42
10.85,41186.92
7.34,55813.82
8.7,56475.35
12.03,69179.27
6.27,56393.01
11.28,50176.02
13.16,61000.19
1.79,30706.23
7.0,30935.75
1.8,29603.1
0.14,32253.87
1.02,31759.22
11.84,67086.99
1.69,29039.58
17.37,82372.15
15.19,74277.24
0.18,27447.07
11.46,52720.02
0.21,37422.56
2.18,26742.52
19.76,98638.88
9.14,57634.53
0.54,17675.67
17.01,94863.34
18.35,97865.84
10.97,50821.54
14.12,73827.38
15.6,81267.41
14.69,59856.33
9.89,42652.19
16.65,76618.61
10.55,51407.23
5.19,34817.04
0.08,14780.26
7.17,49122.14
1.65,23642.79
1.27,38341.08
9.38,59287.86
18.87,97411.72
2.11,18879.87
5.47,39136.71
16.6,84195.2
8.04,56751.9
15.18,72934.69
10.85,58954.36
12.08,64142.88
3.22,33897.13
7.05,66973.33
12.44,71028.82
0.54,27192.78
3.77,28110.79
7.73,42171.85
13.49,70515.96
10.19,69714.22
14.37,73718.13
14.54,74629.85
0.62,21219.84
18.03,74186.49
16.48,86190.22
5.42,41939.98
9.69,62484.99
6.16,47807.55
18.13,80752.15
7.66,53600.61
7.92,42395.31
18.24,90574.18
12.01,66545.88
2.76,46975.67
12.52,61886.06
15.89,69996.24
6.76,45343.58
10.54,66763.08
12.54,46497.12
10.21,67733.43
19.98,93269.79
10.14,51340.22
12.87,67093.34
15.87,74622.68
2.73,24759.98
0.88,12564.89
19.46,98953.12
14.65,71782.3
7.87,49397.94
0.35,32995.04
3.33,37094.89
0.19,13207.01
7.93,58134.38
11.1,75710.56
3.21,40265.58
12.8,62869.92
19.08,80014.62
19.81,87120.39
16.66,84145.91
8.88,67481.92
10.95,57243.8
10.07,55040.2
3.11,44068.22
17.09,81336.9
13.52,86017.2
12.76,68470.67
4.41,49765.34
3.06,38783.41
17.46,91768.58
3.59,36142.44
1.47,29266.99
12.51,72143.72
14.09,80689.15
2.39,37582.06
4.14,25340.59
15.78,82274.92
18.59,84818.27
9.53,53987.17
15.84,84100.37
6.39,60941.36
14.06,72369.97
11.14,79788.48
16.86,75248.77
15.52,89167.02
5.68,48335.05
2.99,37130.32
16.15,92601.27
0.66,22203.22
13.58,82753.27
9.52,56647.48
1.51,25134.1
13.77,62586.02
9.66,71484.02
17.2,94337.18
4.17,35779.73
0.05,29524.32
2.61,35146.87
5.39,41049.4
13.04,78375.17
7.25,45381.69
2.36,15744.15
19.63,95788.84
2.16,33110.05
7.1,45112.25
17.53,79222.94
13.05,58207.89
6.4,44484.08
19.41,85922.42
10.02,67792.07
0.16,29699.71
0.12,21555.16
18.82,95052.41
5.62,43822.85
16.24,79688.95
0.87,27610.72
2.94,49454.68
17.14,90126.71
19.88,92198.53
1.04,35785.51
3.35,43597.05
14.46,77681.57
10.59,59436.65
8.12,50260.75
3.89,30011.55
18.91,92624.41
3.45,32179.86
5.3,40073.72
6.49,52693.01
2.77,48198.28
10.72,65529.92
6.83,48051.58
12.16,67399.22
7.36,59853.78
2.33,36251.27
17.45,87631.7
10.19,62792.21
6.44,36100.59
0.33,29269.34
11.96,59847.5
15.65,82930.64
13.0,64622.77
15.75,84869.71
3.1,34624.43
19.43,83856.32
4.23,37467.88
5.34,61321.68
10.25,42678.63
0.1,26694.42
8.85,47886.87
3.91,49715.78
14.98,83961.74
15.16,79530.02
12.31,75440.9
8.43,56474.54
6.2,46765.34
16.55,78131.47
10.14,57609.24
9.93,56040.19
2.27,33023.06
4.37,25150.0
7.21,58471.57
13.98,89494.67
16.91,80711.24
19.86,103899.84
8.55,53847.42
9.06,51905.88
15.32,75569.97
6.42,48171.43
10.81,57065.81
13.54,77240.67
4.72,37383.24
5.59,35985.49
7.12,49774.01
11.55,59886.46
5.41,41310.56
4.16,39137.27
2.99,24747.92
16.19,93322.62
17.72,93519.16
18.09,83290.1
16.43,82361.34
2.75,39696.56
1.96,33512.34
9.98,74980.32
10.43,59590.58
14.66,85809.46
4.46,29924.55
18.62,80720.08
6.2,60170.86
11.56,61990.98
17.28,76155.37
10.47,61259.57
15.07,87860.84
14.98,71323.64
15.8,79967.84
16.22,66937.47
7.85,48721.69
7.27,58426.53
16.07,74970.13
11.59,55404.48
12.15,61331.02
8.24,48956.76
4.03,45230.74
9.14,60023.36
19.39,97458.78
5.82,45588.14
5.44,39081.69
2.62,27943.97
9.62,62141.25
5.77,57909.15
13.74,65572.78
2.7,26314.85
4.95,33225.25
1.24,35981.8
0.83,27565.82
16.28,86433.22
18.12,84347.72
15.28,83418.11
17.3,83260.36
1.73,18702.33
17.96,95252.59
9.32,57332.99
15.37,76322.68
12.32,70353.34
7.0,37937.56
5.3,46981.72
2.36,28502.63
8.25,52636.74
9.88,68701.54
19.66,98955.61
0.75,26199.28
11.8,65501.77
10.5,41265.08
0.46,20027.6
6.59,49418.98
8.46,48491.6
9.89,48987.42
4.67,45183.12
0.68,37838.57
5.88,39797.84
16.73,90545.41
16.16,87348.5
3.62,29838.01
12.93,64419.51
18.47,104080.14
3.44,28111.36
2.57,29135.18
0.44,42276.23
3.45,32517.85
16.28,92800.61
16.28,73803.15
10.81,63937.79
6.67,57036.88
16.14,77734.9
3.9,39448.96
2.8,40745.27
1.78,24028.77
17.03,102515.66
14.3,83340.8
12.49,65862.78
14.55,74044.14
2.87,50337.27
7.7,49096.72
16.28,78210.8
18.34,98342.91
10.26,49712.23
2.44,32917.64
19.57,94169.49
7.9,47022.29
6.38,34804.83
2.4,33952.17
0.25,31389.52
12.07,61824.69
12.25,58431.71
4.68,51445.53
3.24,40564.1
10.56,59066.19
8.71,62845.32
6.07,48189.7
4.36,54590.02
17.19,90464.77
19.68,82749.03
7.11,44620.81
13.96,68981.91
17.31,88064.79
0.54,24457.66
18.16,79546.25
9.98,64653.55
11.13,71973.39
10.8,61969.26
4.86,43680.57
15.64,72016.45
14.65,72083.39
1.92,27852.4
11.26,68864.1
19.14,94040.05
17.42,83343.48
12.52,65858.25
3.97,23165.99
6.94,62152.61
3.01,18841.5
16.44,85910.19
15.57,79808.64
18.21,86599.62
1.27,29372.15
19.29,87226.08
19.33,97872.44
13.49,61700.14
17.63,89344.89
8.77,50268.54
6.27,43522.88
3.09,32606.54
0.63,25887.72
0.84,31957.04
13.83,73123.31
6.73,56024.06
1.08,37143.49
2.24,35324.3
13.31,77030.59
18.77,106907.06
8.16,42251.84
15.55,88045.12
19.47,105509.5
14.17,78050.32
14.46,90842.82
12.32,82303.1
19.55,90741.08
6.0,43902.88
15.66,84054.05
8.3,49062.55
3.11,57569.14
14.79,83066.75
16.59,83430.44
17.27,74170.33
18.44,91546.84
14.9,67658.62
10.55,68012.64
18.77,70691.11
4.19,50739.4
1.55,27018.52
8.63,41680.03
11.64,65624.18
13.6,72733.84
16.31,81565.0
0.54,37910.78
16.04,84190.28
12.0,73377.72
19.06,89716.53
6.96,52768.81
12.34,57720.59
15.33,80723.21
10.33,55082.01
3.12,46470.62
1.0,29090.03
2.23,38100.99
9.9,61741.9
12.79,84223.03
11.41,52453.57
14.26,73993.76
0.78,20048.93
2.73,18146.79
15.22,70079.57
15.62,89059.05
14.05,73919.17
14.91,75421.93
19.27,98628.82
18.88,92018.77
12.89,75020.39
6.39,49936.17
0.28,30329.31
12.63,65615.07
8.63,63567.97
2.94,25594.86
4.31,39380.2
18.73,99332.42
1.32,28403.06
15.75,76676.13
18.04,106450.98
13.77,84533.06
1.23,30426.98
16.92,76445.88
13.07,54449.55
5.54,50061.6
12.59,79202.83
2.73,37724.16
14.15,60849.73
18.06,89492.25
10.43,57622.88
19.04,92940.67
8.76,71214.07
17.15,91344.9
15.47,83763.99
1.77,30827.31
18.25,92201.48
18.21,82945.79
7.03,54038.6
15.87,78993.77
4.49,34146.58
0.61,33647.53
4.16,21703.17
9.68,54522.15
1.16,33950.29
3.2,45997.11
19.01,95304.28
9.88,54192.17
16.46,82209.58
4.13,41793.79
1.77,43680.79
15.61,87003.15
6.98,56841.8
9.2,57709.66
19.84,85881.14
6.33,35908.81
9.46,55710.08
12.7,75032.24
1.78,27219.73
14.33,79727.64
9.03,50263.69
3.5,32127.65
8.61,66402.01
9.21,63381.73
12.81,67399.68
18.74,83954.96
15.3,86145.91
7.65,58783.18
19.39,97988.95
15.82,78935.55
0.56,18199.9
2.33,33042.36
4.36,51521.58
1.67,23572.94
9.71,56195.29
6.81,61936.6
19.46,90670.92
9.45,6503.07
4.24,29047.62
19.41,97936.76
10.28,55046.94
1.46,17677.36
1.62,23032.75
13.51,73938.06
9.9,46994.87
12.48,57609.63
16.99,88950.47
13.63,72117.78
17.24,78013.38
14.85,74418.06
13.49,86113.35
2.69,44682.77
9.66,57938.46
8.66,61845.95
10.81,63816.7
7.82,38186.45
12.41,52805.36
7.85,45197.25
11.15,51427.23
7.9,54813.81
18.04,83724.2
7.47,54541.73
14.62,79690.84
12.27,73481.68
7.71,44541.68
16.15,85659.55
18.55,82286.0
15.21,83924.62
18.97,101182.4
8.73,61326.7
18.27,87545.18
17.52,90869.75
15.25,66100.95
16.7,69394.4
14.6,79843.72
10.25,71323.47
11.05,53817.75
8.35,54359.55
13.29,75011.4
6.5,42818.88
14.79,74061.1
10.1,65264.02
7.06,50588.65
2.94,36206.41
5.11,35028.43
12.8,69564.83
7.4,47706.14
0.66,24566.78
6.59,43750.43
7.33,50426.8
4.69,34454.84
5.73,45138.77
14.1,71424.67
14.93,69781.9
19.18,76534.2
2.36,40845.91
6.23,52791.23
1.54,23954.28
12.27,73384.61
0.33,17948.88
4.11,36917.91
11.74,61846.36
7.17,47890.98
10.89,68275.78
12.8,66601.63
16.78,81008.69
7.86,-53233.64
5.58,45016.45
10.78,57982.06
1.39,31802.83
0.84,35875.29
9.04,65103.94
4.36,29668.48
0.14,15308.81
13.59,80548.61
16.32,79830.73
2.96,17751.45
11.28,58633.95
19.68,90366.61
5.38,41312.34
14.62,82276.46
3.24,28913.84
18.64,97730.77
0.01,27311.41
5.89,35338.79
19.53,90794.49
13.41,75905.65
4.24,40145.69
15.83,23198.14
17.96,83166.66
9.75,63547.13
3.12,32733.96
5.17,63470.84
18.86,80462.37
3.22,57860.8
6.24,39224.29
2.91,45357.43
2.11,39011.94
10.44,54265.23
7.93,57565.42
0.92,24265.31
2.9,37362.44
0.75,28819.02
0.49,23926.82
3.57,34033.47
14.87,79782.43
0.3,18803.32
6.09,39384.66
11.3,72174.97
14.87,80486.34
13.56,61999.1
19.77,86163.47
5.51,27201.82
0.0,32287.23
0.76,33183.96
1.95,23116.25
19.5,98463.85
11.4,80787.39
15.99,68641.09
19.7,89034.73
16.89,71609.22
8.15,61121.46
17.52,85543.24
8.68,52177.72
2.28,34797.11
10.96,58913.72
18.31,85889.26
15.69,82115.78
8.04,48254.28
17.1,81088.76
9.28,56240.61
13.69,73650.95
6.66,53132.62
3.89,43295.8
6.27,34946.22
17.5,97525.06
19.8,94756.9
5.28,40820.89
3.31,29347.11
1.42,45889.13
15.08,96646.27
10.56,76889.46
11.12,64898.34
0.9,30917.29
1.62,42602.28
18.29,87097.6
11.53,69701.58
4.38,42162.22
4.15,54872.43
4.82,53353.85
1.28,28359.28
1.0,40683.83
14.4,75368.23
5.28,39096.75
7.69,49629.86
10.75,63794.69
6.4,41124.09
9.58,54374.1
17.3,177752.97
4.88,35507.1
15.83,82264.55
5.28,51813.51
3.74,45398.59
1.45,33524.83
13.68,60659.91
8.23,46926.35
15.41,77350.34
2.65,41989.64
12.07,62779.7
0.26,16151.05
4.68,52954.4
12.19,61795.84
1.12,19899.74
7.54,53224.7
11.23,63915.8
14.55,71930.05
14.11,74398.87
2.96,27965.12
1.5,26169.28
7.53,51056.05
4.82,25569.57
6.11,54038.92
6.85,37990.69
7.94,45291.6
10.37,69303.26
0.19,30205.75
5.96,46558.75
5.29,29840.17
4.72,36690.17
15.77,78474.09
5.03,41442.72
3.02,44698.87
17.04,100582.17
7.66,56724.73
3.68,33607.25
15.02,87299.86
13.14,66285.65
18.91,70181.43
17.56,76449.42
13.89,54626.7
3.22,33198.74
9.66,57396.42
2.38,20573.84
10.99,56624.96
18.34,77763.99
0.08,24251.58
17.52,79493.15
10.79,70831.78
3.02,36944.94
17.12,97748.9
10.74,58944.62
8.96,73526.53
9.99,60000.43
2.95,31088.29
2.25,52161.56
13.23,56680.9
17.61,82207.4
13.89,60291.72
16.82,69148.76
16.9,67596.93
0.64,32176.9
15.42,68334.42
15.44,77008.27
7.0,56633.72
8.2,57396.19
14.91,80495.66
19.73,103769.4
19.76,107023.2
9.48,48155.12
15.79,84134.17
9.32,55446.57
17.32,84443.74
12.99,58389.14
18.73,86309.24
19.94,91424.85
6.6,59555.17
19.59,84310.24
13.85,54392.27
4.76,41617.23
0.06,15163.71
13.68,71752.08
4.45,45852.62
4.63,40397.98
11.04,60201.8
0.62,25912.33
8.33,60925.04
15.99,71718.81
0.55,32736.07
12.48,60640.38
3.17,40903.14
17.26,73054.04
7.81,56688.17
16.24,81033.59
14.48,76439.85
17.56,94120.01
10.34,54611.44
9.72,58827.5
0.75,30046.54
10.68,59974.9
10.44,67272.66
12.13,70086.2
2.62,29532.09
10.8,72883.61
9.08,61277.43
11.92,59977.78
13.21,64417.74
7.23,48543.54
10.08,63863.54
7.9,34949.32
15.31,72180.22
15.93,76129.84
5.86,34004.66
5.19,34994.08
13.57,73581.03
15.48,75269.84
0.22,22477.97
8.55,43891.4
6.15,44833.03
15.33,66623.92
2.87,46720.09
15.56,93423.88
13.23,67513.14
16.86,75025.55
19.8,101153.85
9.53,63097.77
13.99,88956.77
14.2,91825.89
16.89,67905.67
10.36,70538.04
2.15,30755.28
19.59,97948.11
1.14,35201.4
19.25,98253.53
5.11,50878.03
9.85,54991.72
19.01,83923.26
13.53,81861.54
11.71,59015.47
6.52,62703.69
5.85,39353.42
0.66,24247.75
11.73,64519.97
8.6,42778.61
4.49,28395.68
7.68,59191.26
18.82,77105.64
16.97,104545.31
8.61,54375.5
19.6,85361.96
9.24,60709.99
6.98,29744.67
7.76,49485.9
17.49,84580.44
5.36,33613.19
4.44,35492.94
19.21,104446.5
14.69,77864.83
15.28,81660.4
14.81,70525.72
13.66,62216.32
1.82,29458.88
15.07,58096.54
4.98,33650.03
2.65,24248.37
19.66,77500.08
0.56,32144.2
0.63,26170.48
6.2,41736.52
16.88,89462.28
19.56,80301.92
2.37,22548.31
7.91,61619.39
14.69,94652.38
12.91,75660.79
4.67,45108.94
6.58,43389.55
11.89,62135.31
0.71,29296.61
15.16,89059.21
5.51,47690.69
16.57,90647.9
13.67,65526.99
12.91,75114.42
15.35,73344.52
1.5,31380.63
5.2,48124.52
10.43,57271.76
15.54,71264.32
16.98,87334.67
7.64,50669.08
15.87,81644.38
4.41,45676.34
1.65,41228.76
4.93,47566.96
18.06,92475.89
10.88,59079.53
9.63,55919.72
14.87,80669.45
0.2,22800.52
2.37,36884.1
1.99,25447.25
2.43,48951.49
9.07,58290.95
5.61,45671.85
15.71,76139.91
16.78,99036.9
18.5,79719.43
3.92,33100.23
10.06,67028.35
0.97,30326.1
4.8,37179.43
12.3,63670.72
8.45,52240.33
13.81,74166.06
16.78,96174.96
1.19,34008.75
18.77,98889.59
0.85,24494.04
19.63,97842.65
12.75,57195.91
0.87,116889.52
7.87,53497.7
5.16,57645.93
15.97,93360.74
4.51,38714.34
16.52,76297.75
6.25,40546.36
19.78,91882.9
5.41,54342.57
13.7,76266.52
16.0,85157.63
4.33,46641.81
1.52,22349.64
11.02,57914.85
13.54,76557.4
16.35,75977.96
5.46,31882.21
17.45,77399.35
18.32,97538.55
15.58,76550.44
0.15,27338.58
1.74,22844.94
19.95,97876.84
14.68,74219.67
12.54,72445.0
18.03,84272.29
0.79,31809.17
15.15,73800.35
13.09,70184.85
16.96,82202.02
15.56,79663.2
9.7,61177.68
1.42,26008.56
18.19,87701.16
15.27,79937.05
7.13,54009.22
19.68,93266.29
6.22,39681.15
7.41,51630.88
19.49,98590.05
13.36,61102.72
17.58,75971.92
17.76,81845.1
10.73,61012.74
5.34,26112.36
16.95,88913.93
10.04,58671.87
11.29,45695.77
10.83,53990.41
0.19,23266.49
0.92,14030.54
12.33,75910.59
15.89,82105.28
9.14,62418.22
3.81,30096.42
8.13,56755.46
15.37,73497.5
2.17,31063.75
11.2,67036.56
14.04,73594.37
8.32,60575.66
12.03,68200.97
17.67,83138.37
4.26,46639.97
2.7,42885.04
1.22,29960.15
14.52,86523.77
18.01,86153.63
13.81,72304.07
19.53,93386.73
14.16,73529.38
5.77,42710.28
